Questions,Answer,Author,Date_Created,Created_By,Difficulty
Can you assign an anonymous function to a variable and pass it as an argument to another function?,Yes! An anonymous function can be assigned to a variable. It can also be passed as an argument to another function.,https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What are the scopes of a variable in JavaScript?,The scope of a variable is the region of your program in which it is defined. JavaScript variable will have only two scopes.,https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is the purpose of ‘This’ operator in JavaScript?,"The JavaScript this keyword refers to the object it belongs to. This has different values depending on where it is used. In a method, this refers to the owner object and in a function, this refers to the global object.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is Callback?,"A callback is a plain JavaScript function passed to some method as an argument or option. It is a function that is to be executed after another function has finished executing, hence the name ‘call back‘. In JavaScript, functions are objects. Because of this, functions can take functions as arguments, and can be returned by other functions",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is Closure? Give an example.,"Closures are created whenever a variable that is defined outside the current scope is accessed from within some inner scope. It gives you access to an outer function’s scope from an inner function. In JavaScript, closures are created every time a function is created. To use a closure, simply define a function inside another function and expose it.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
How does TypeOf Operator work?,"The typeof operator is used to get the data type of its operand. The operand can be either a literal or a data structure such as a variable, a function, or an object. It is a unary operator that is placed before its single operand, which can be of any type. Its value is a string indicating the data type of the operand.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
How to create a cookie using JavaScript?,"The simplest way to create a cookie is to assign a string value to the document.cookie object, which looks like this- document.cookie = ""key1 = value1; key2 = value2; expires = date"";",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is the difference between var and let?,var and let are both used for variable declaration in javascript but the difference between them is that var is function scoped and let is block scoped. It can be said that a variable declared with var is defined throughout the program as compared to let.,https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is the difference between the operators ‘==‘ & ‘===‘?,"The main difference between “==” and “===” operator is that formerly compares variable by making type correction e.g. if you compare a number with a string with numeric literal, == allows that, but === doesn’t allow that, because it not only checks the value but also type of two variable, if two variables are not of the same type “===” return false, while “==” return true.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is the difference between null & undefined?,"Undefined means a variable has been declared but has not yet been assigned a value. On the other hand, null is an assignment value. It can be assigned to a variable as a representation of no value. Also, undefined and null are two distinct types: undefined is a type itself (undefined) while null is an object.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is the difference between window & document in JavaScript?,"JavaScript window is a global object which holds variables, functions, history, location. The document also comes under the window and can be considered as the property of the window.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is an event bubbling in JavaScript?,"Event bubbling is a way of event propagation in the HTML DOM API, when an event occurs in an element inside another element, and both elements have registered a handle for that event. With bubbling, the event is first captured and handled by the innermost element and then propagated to outer elements. The execution starts from that event and goes to its parent element. Then the execution passes to its parent element and so on till the body element.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
How can you convert the string of any base to integer in JavaScript?,"The parseInt() function is used to convert numbers between different bases. It takes the string to be converted as its first parameter, and the second parameter is the base of the given string.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What would be the result of 2+5+”3??,"Since 2 and 5 are integers, they will be added numerically. And since 3 is a string, its concatenation will be done. So the result would be 73. The ” ” makes all the difference here and represents 3 as a string and not a number.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
What is the difference between Call & Apply?,"The call() method calls a function with a given this value and arguments provided individually. The apply() method calls a function with a given this value, and arguments provided as an array.",https://www.edureka.co/blog/interview-questions/javascript-interview-questions/,14/8/2021,Rajat Upadhyay,Easy
