Question,Answer,Author
What is the chemical symbol for the element mercury?,Hg,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the chemical formula for chlorine?,Cl2,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the name of the compound with the formula MgBr2?,Magnesium bromide,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
How many different types of atom are in one molecule of a substance that has the formula N2O4?,2,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the formula of water?,H2O,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the definition of a compound?,A substance made up of two or more elements that are chemically combined in fixed proportions,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the best definition of a pure substance?,A substance that consists of only one element or compound.,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is a mixture?,A mixture consists of two or more substances that are not chemically joined together,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Which method is used to obtain copper sulfate crystals from copper sulfate solution?,Crystallisation,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What happens when a mixture is heated in simple distillation?,The solvent evaporates and leaves the solution,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Which method is used to obtain pure water from salt solution?,Simple distillation,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
,,
A mixture of three substances is separated by fractional distillation. Which substance is collected at the bottom of the column?,The substance with the highest boiling point,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
"In chromatography, how many spots are produced by a pure substance?",1,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the plum pudding model of the atom?,An atom is a ball of positive charge with negative electrons embedded in it,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Which scientist found evidence for the existence of neutrons?,Niels Bohr,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the radius of a typical atom?,1 × 10-10 m,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the relative mass and charge of a neutron?,Mass = 1 and charge = 0,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
An atom has 13 protons and 14 neutrons. What is its mass number?,27,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
"An atom has an atomic number of 9 and a mass number of 19. What are its numbers of protons, neutrons and electrons?","Protons = 9, neutrons = 10, electrons = 9",https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What are isotopes?,Atoms of the same element with different numbers of neutrons,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the best definition of the relative atomic mass of an element?,The average mass of its atoms compared to one-twelfth of the mass of a carbon-12 atom,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
A sample of naturally occurring neon is 91% neon-20 and 9% neon-22. What is its relative atomic mass?,20.2,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Which scientist developed an early periodic table?,Dmitri Mendeleev,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
"How are the elements of a period arranged in the modern periodic table, from left to right?",In order of increasing atomic number,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the electronic structure of an atom of the element whose atomic number is 13?,"2,8,3",https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
"An atom of an element has the electronic structure 2,8,8,2. What is its atomic number?",20,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
"An atom of an element has the electronic structure 2,8,7. Which group of the periodic table is it in?",7,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
"An atom of an element has the electronic structure 2,8,8,1. How many electrons are in the shell nearest the nucleus?",2,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What happens to metal atoms in chemical reactions?,They lose electrons to form positive ions,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the name of the group 0 elements?,Noble Gases,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Why are group 0 elements unreactive?,Their atoms have stable electronic structures,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What are the products of the reaction of sodium and water?,Sodium hydroxide and hydrogen,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
How many electrons are in the outer shell of an atom of an alkali metal?,1,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
The boiling points of the halogens increase down the group. Why?,"Going down the group, the molecules get larger",https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
"At room temperature, what is the appearance of the product of the reaction of potassium with chlorine?",White Solid,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
How would you describe the trends in reactivity in groups 1 and 7?,The reactivity of the group 1 elements increases down the group and the reactivity of the group 7 elements decreases down the group,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
How do particles move in a substance in the solid state?,They vibrate about fixed positions,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Why can a liquid flow?,"Because its particles move around, sliding over each other",https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Why can a gas be compressed?,Because its particles are far apart and have space to move into,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
What is the name of the change of state from gas to liquid?,Condensing,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Why is energy transferred from the substance to the surroundings when a substance freezes?,The forces of attraction between the particles get stronger,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Which two states of matter are involved in sublimation?,Solid and gas,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
A substance has a melting point of -7°C and a boiling point of 59°C. What is its state at room temperature (20°C)?,Liquid,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
A substance has a melting point of -210°C and a boiling point of -196°C. What is its state at -190°C?,Liquid,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
How are the particles bonded together in metals?,Attractive forces between atoms and delocalised electrons,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Why are electrons in the outer shell of metal atoms free to move through the whole structure?,They are delocalised electrons,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Which part of a metal is most important in transferring thermal energy?,Its delocalised electrons,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
How are the atoms arranged in a metal?,In layers,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
Why do metals have high melting points?,They have strong metallic bonds,https://www.bbc.co.uk/bitesize/examspecs/z8xtmnb
